# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
795,802.00,12.67,550.00,12.67,810.30,35.76,73.87,73.06,73.18,0.10,3.44
798,738.00,12.67,482.00,12.67,810.26,35.76,73.89,73.06,73.18,0.10,3.56
801,792.00,12.67,544.00,12.67,810.20,35.42,73.92,73.06,73.06,0.10,2.83
804,730.00,12.67,482.00,12.67,810.26,35.38,73.96,72.95,73.18,0.10,2.93
807,792.00,12.67,548.00,12.67,810.30,36.11,73.96,73.06,73.18,0.10,2.68
810,738.00,12.67,554.00,12.66,810.34,36.21,73.98,73.06,73.06,0.09,3.05
813,730.00,12.67,484.00,12.67,810.24,35.79,73.98,73.06,73.06,0.09,2.73
816,796.00,12.67,558.00,12.67,810.26,35.75,73.99,73.06,73.06,0.09,2.23
819,738.00,12.67,482.00,12.67,810.28,35.69,73.98,73.06,73.06,0.09,2.40
822,728.00,12.67,488.00,12.67,810.28,35.49,74.01,73.06,73.06,0.09,2.10
825,792.00,12.67,558.00,12.67,810.29,35.82,74.01,73.06,73.06,0.09,3.14
828,738.00,12.67,488.00,12.67,810.22,36.27,74.01,72.95,73.06,0.09,2.31
831,738.00,12.67,488.00,12.67,810.23,36.18,73.98,73.06,73.06,0.08,1.87
834,806.00,12.67,550.00,12.66,810.25,36.33,73.98,73.06,73.06,0.09,2.31
837,740.00,12.67,494.00,12.67,810.24,36.04,73.96,73.06,73.06,0.08,4.49
840,800.00,12.67,554.00,12.66,810.27,36.13,73.92,72.95,73.06,0.08,4.01
843,738.00,12.68,488.00,12.67,810.26,35.94,73.90,73.06,73.06,0.08,3.66
846,734.00,12.67,484.00,12.67,810.24,36.35,73.89,72.95,73.06,0.08,3.89
849,730.00,12.67,478.00,12.67,810.19,36.61,73.85,73.06,73.18,0.08,2.65
852,740.00,12.67,484.00,12.67,810.29,36.23,73.83,72.95,73.18,0.08,3.03
855,802.00,12.67,544.00,12.67,810.28,36.44,73.81,73.06,73.18,0.08,2.77
858,740.00,12.67,478.00,12.67,810.19,36.28,73.81,73.06,73.18,0.08,2.23
861,728.00,12.67,476.00,12.67,810.28,35.95,73.80,72.95,73.18,0.08,2.31
864,738.00,12.67,478.00,12.67,810.26,35.98,73.81,72.95,73.18,0.08,3.05
867,796.00,12.67,548.00,12.67,810.27,36.52,73.80,72.95,73.18,0.07,2.83
870,792.00,12.67,540.00,12.66,810.32,36.29,73.76,72.95,73.18,0.07,2.13
873,748.00,12.67,478.00,12.67,810.31,36.25,73.74,73.06,73.18,0.07,1.41
